id,name,price,size
0,Contrex,108,1500
1,Wilkinson,75,500
2,AlcaliIonWater,79,2000
3,AmebaWater,0,0
4,CrystalGeyser,35,500
5,AmebaWater,0,0
6,Volvic,66,500
7,Volvic,66,500
8,CrystalGeyser,35,500
9,Irohasu,70,500
10,AmebaWater,0,0
11,AlcaliIonWater,79,2000
12,Volvic,66,500
13,Perrier,79,500
14,Irohasu,70,500
15,AmebaWater,0,0
16,Onsensui,321,2000
17,CrystalGeyser,35,500
18,AlcaliIonWater,79,2000
19,Onsensui,321,2000
20,Perrier,79,500
21,Onsensui,321,2000
22,AmebaWater,0,0
23,AlcaliIonWater,79,2000
24,Irohasu,70,500
25,Contrex,108,1500
26,Volvic,66,500
27,Wilkinson,75,500
28,AlcaliIonWater,79,2000
29,Contrex,108,1500
30,Wilkinson,75,500
31,CrystalGeyser,35,500
32,AmebaWater,0,0
33,CrystalGeyser,35,500
34,CrystalGeyser,35,500
35,Irohasu,70,500
36,Onsensui,321,2000
37,CrystalGeyser,35,500
38,AmebaWater,0,0
39,Onsensui,321,2000
40,Onsensui,321,2000
41,AmebaWater,0,0
42,AmebaWater,0,0
43,Onsensui,321,2000
44,AlcaliIonWater,79,2000
45,Onsensui,321,2000
46,CrystalGeyser,35,500
47,Volvic,66,500
48,Wilkinson,75,500
49,Irohasu,70,500
50,Irohasu,70,500
51,Onsensui,321,2000
52,Contrex,108,1500
53,Perrier,79,500
54,Contrex,108,1500
55,Onsensui,321,2000
56,Perrier,79,500
57,CrystalGeyser,35,500
58,Wilkinson,75,500
59,CrystalGeyser,35,500
60,Onsensui,321,2000
61,Contrex,108,1500
62,CrystalGeyser,35,500
63,Irohasu,70,500
64,AmebaWater,0,0
65,Wilkinson,75,500
66,AmebaWater,0,0
67,Perrier,79,500
68,AlcaliIonWater,79,2000
69,Contrex,108,1500
70,Wilkinson,75,500
71,Perrier,79,500
72,CrystalGeyser,35,500
73,Contrex,108,1500
74,AmebaWater,0,0
75,Irohasu,70,500
76,AmebaWater,0,0
77,Irohasu,70,500
78,CrystalGeyser,35,500
79,Wilkinson,75,500
80,Contrex,108,1500
81,Volvic,66,500
82,Wilkinson,75,500
83,Irohasu,70,500
84,Wilkinson,75,500
85,Volvic,66,500
86,AmebaWater,0,0
87,Contrex,108,1500
88,Irohasu,70,500
89,AlcaliIonWater,79,2000
90,CrystalGeyser,35,500
91,Wilkinson,75,500
92,Perrier,79,500
93,Perrier,79,500
94,AlcaliIonWater,79,2000
95,Wilkinson,75,500
96,Wilkinson,75,500
97,Perrier,79,500
98,AmebaWater,0,0
99,Wilkinson,75,500
100,AmebaWater,0,0
101,Irohasu,70,500
102,Onsensui,321,2000
103,AlcaliIonWater,79,2000
104,Contrex,108,1500
105,Perrier,79,500
106,Onsensui,321,2000
107,AmebaWater,0,0
108,Wilkinson,75,500
109,Contrex,108,1500
110,Contrex,108,1500
111,Volvic,66,500
112,Contrex,108,1500
113,Perrier,79,500
114,Onsensui,321,2000
115,AlcaliIonWater,79,2000
116,Volvic,66,500
117,Onsensui,321,2000
118,Irohasu,70,500
119,Contrex,108,1500
120,Onsensui,321,2000
121,Volvic,66,500
122,Wilkinson,75,500
123,Irohasu,70,500
124,Contrex,108,1500
125,CrystalGeyser,35,500
126,Onsensui,321,2000
127,Contrex,108,1500
128,CrystalGeyser,35,500
129,Wilkinson,75,500
130,CrystalGeyser,35,500
131,Perrier,79,500
132,AmebaWater,0,0
133,CrystalGeyser,35,500
134,Wilkinson,75,500
135,AlcaliIonWater,79,2000
136,Onsensui,321,2000
137,AlcaliIonWater,79,2000
138,Irohasu,70,500
139,AlcaliIonWater,79,2000
140,AmebaWater,0,0
141,CrystalGeyser,35,500
142,Wilkinson,75,500
143,Perrier,79,500
144,CrystalGeyser,35,500
145,Onsensui,321,2000
146,Perrier,79,500
147,Contrex,108,1500
148,Contrex,108,1500
149,Wilkinson,75,500
150,Perrier,79,500
151,Irohasu,70,500
152,Wilkinson,75,500
153,Perrier,79,500
154,Contrex,108,1500
155,CrystalGeyser,35,500
156,Wilkinson,75,500
157,Contrex,108,1500
158,Perrier,79,500
159,Contrex,108,1500
160,Irohasu,70,500
161,Wilkinson,75,500
162,CrystalGeyser,35,500
163,AlcaliIonWater,79,2000
164,CrystalGeyser,35,500
165,Onsensui,321,2000
166,AmebaWater,0,0
167,CrystalGeyser,35,500
168,Perrier,79,500
169,Wilkinson,75,500
170,Wilkinson,75,500
171,Contrex,108,1500
172,CrystalGeyser,35,500
173,Contrex,108,1500
174,Perrier,79,500
175,Onsensui,321,2000
176,Irohasu,70,500
177,Volvic,66,500
178,AlcaliIonWater,79,2000
179,AmebaWater,0,0
180,Perrier,79,500
181,Onsensui,321,2000
182,Onsensui,321,2000
183,AlcaliIonWater,79,2000
184,Irohasu,70,500
185,Onsensui,321,2000
186,AmebaWater,0,0
187,Irohasu,70,500
188,AlcaliIonWater,79,2000
189,Irohasu,70,500
190,Volvic,66,500
191,Onsensui,321,2000
192,Irohasu,70,500
193,AmebaWater,0,0
194,Wilkinson,75,500
195,AmebaWater,0,0
196,Contrex,108,1500
197,Contrex,108,1500
198,Wilkinson,75,500
199,CrystalGeyser,35,500
200,Onsensui,321,2000
201,AmebaWater,0,0
202,CrystalGeyser,35,500
203,Wilkinson,75,500
204,Irohasu,70,500
205,CrystalGeyser,35,500
206,Irohasu,70,500
207,CrystalGeyser,35,500
208,Onsensui,321,2000
209,CrystalGeyser,35,500
210,CrystalGeyser,35,500
211,Irohasu,70,500
212,Irohasu,70,500
213,Perrier,79,500
214,Onsensui,321,2000
215,Perrier,79,500
216,AlcaliIonWater,79,2000
217,Contrex,108,1500
218,AlcaliIonWater,79,2000
219,CrystalGeyser,35,500
220,Volvic,66,500
221,Wilkinson,75,500
222,Volvic,66,500
223,AlcaliIonWater,79,2000
224,Irohasu,70,500
225,Onsensui,321,2000
226,Wilkinson,75,500
227,Perrier,79,500
228,Perrier,79,500
229,CrystalGeyser,35,500
230,Irohasu,70,500
231,Volvic,66,500
232,Volvic,66,500
233,Onsensui,321,2000
234,Irohasu,70,500
235,Volvic,66,500
236,AlcaliIonWater,79,2000
237,Perrier,79,500
238,Perrier,79,500
239,CrystalGeyser,35,500
240,Volvic,66,500
241,Volvic,66,500
242,AlcaliIonWater,79,2000
243,Contrex,108,1500
244,Onsensui,321,2000
245,AmebaWater,0,0
246,Perrier,79,500
247,Irohasu,70,500
248,Onsensui,321,2000
249,Perrier,79,500
250,CrystalGeyser,35,500
251,Onsensui,321,2000
252,AmebaWater,0,0
253,Wilkinson,75,500
254,Perrier,79,500
255,AmebaWater,0,0
256,Volvic,66,500
257,Wilkinson,75,500
258,Irohasu,70,500
259,Irohasu,70,500
260,AlcaliIonWater,79,2000
261,Contrex,108,1500
262,Contrex,108,1500
263,AlcaliIonWater,79,2000
264,Contrex,108,1500
265,Irohasu,70,500
266,Wilkinson,75,500
267,AlcaliIonWater,79,2000
268,Irohasu,70,500
269,Irohasu,70,500
270,Perrier,79,500
271,AlcaliIonWater,79,2000
272,Onsensui,321,2000
273,AlcaliIonWater,79,2000
274,AmebaWater,0,0
275,Onsensui,321,2000
276,AmebaWater,0,0
277,Wilkinson,75,500
278,AmebaWater,0,0
279,Volvic,66,500
280,Contrex,108,1500
281,Wilkinson,75,500
282,AmebaWater,0,0
283,AlcaliIonWater,79,2000
284,Irohasu,70,500
285,Onsensui,321,2000
286,AmebaWater,0,0
287,AmebaWater,0,0
288,Onsensui,321,2000
289,Perrier,79,500
290,Contrex,108,1500
291,Wilkinson,75,500
292,Perrier,79,500
293,AmebaWater,0,0
294,Contrex,108,1500
295,Wilkinson,75,500
296,Contrex,108,1500
297,AlcaliIonWater,79,2000
298,AlcaliIonWater,79,2000
299,Wilkinson,75,500
300,AmebaWater,0,0
301,Volvic,66,500
302,Contrex,108,1500
303,Onsensui,321,2000
304,Contrex,108,1500
305,Irohasu,70,500
306,Contrex,108,1500
