id,name,price,size
0,AmebaWater,0,0
1,Perrier,79,500
2,CrystalGeyser,35,500
3,Irohasu,70,500
4,Wilkinson,75,500
5,Irohasu,70,500
6,AlcaliIonWater,79,2000
7,Volvic,66,500
8,Contrex,108,1500
9,AmebaWater,0,0
10,CrystalGeyser,35,500
11,AlcaliIonWater,79,2000
12,Wilkinson,75,500
13,AmebaWater,0,0
14,AlcaliIonWater,79,2000
15,AlcaliIonWater,79,2000
16,Volvic,66,500
17,Wilkinson,75,500
18,Volvic,66,500
19,Wilkinson,75,500
20,Contrex,108,1500
21,AlcaliIonWater,79,2000
22,Perrier,79,500
23,AlcaliIonWater,79,2000
24,Wilkinson,75,500
25,Irohasu,70,500
26,AlcaliIonWater,79,2000
27,Contrex,108,1500
28,Contrex,108,1500
29,Perrier,79,500
30,CrystalGeyser,35,500
31,Wilkinson,75,500
32,Contrex,108,1500
33,AlcaliIonWater,79,2000
34,Wilkinson,75,500
35,Contrex,108,1500
36,Volvic,66,500
37,AlcaliIonWater,79,2000
38,Contrex,108,1500
39,AlcaliIonWater,79,2000
40,Perrier,79,500
41,CrystalGeyser,35,500
42,CrystalGeyser,35,500
43,Contrex,108,1500
44,Wilkinson,75,500
45,Perrier,79,500
46,AmebaWater,0,0
47,Perrier,79,500
48,Irohasu,70,500
49,AmebaWater,0,0
50,CrystalGeyser,35,500
51,CrystalGeyser,35,500
52,Wilkinson,75,500
53,Irohasu,70,500
54,CrystalGeyser,35,500
55,Irohasu,70,500
56,AlcaliIonWater,79,2000
57,Contrex,108,1500
58,Perrier,79,500
59,CrystalGeyser,35,500
60,AmebaWater,0,0
61,AlcaliIonWater,79,2000
62,Irohasu,70,500
63,Contrex,108,1500
64,AmebaWater,0,0
65,CrystalGeyser,35,500
66,Wilkinson,75,500
67,Perrier,79,500
68,AmebaWater,0,0
69,Wilkinson,75,500
70,AlcaliIonWater,79,2000
71,Perrier,79,500
72,CrystalGeyser,35,500
73,Volvic,66,500
74,AlcaliIonWater,79,2000
75,Wilkinson,75,500
76,Contrex,108,1500
77,Irohasu,70,500
78,AlcaliIonWater,79,2000
79,Irohasu,70,500
80,Irohasu,70,500
81,Perrier,79,500
82,Volvic,66,500
83,AmebaWater,0,0
84,Contrex,108,1500
85,Perrier,79,500
86,Volvic,66,500
87,Contrex,108,1500
88,Contrex,108,1500
89,AmebaWater,0,0
90,AlcaliIonWater,79,2000
91,Perrier,79,500
92,Irohasu,70,500
93,Perrier,79,500
94,Perrier,79,500
95,CrystalGeyser,35,500
96,CrystalGeyser,35,500
97,Contrex,108,1500
98,Irohasu,70,500
99,CrystalGeyser,35,500
100,Contrex,108,1500
101,Irohasu,70,500
102,Perrier,79,500
103,Contrex,108,1500
104,Wilkinson,75,500
105,AlcaliIonWater,79,2000
106,AmebaWater,0,0
107,AmebaWater,0,0
108,Volvic,66,500
109,AmebaWater,0,0
110,CrystalGeyser,35,500
111,AlcaliIonWater,79,2000
112,AlcaliIonWater,79,2000
113,Irohasu,70,500
114,Contrex,108,1500
115,Wilkinson,75,500
